year,field_of_study,major,students
1998,Agriculture,Agriculture,6146.0
1998,Agriculture,Natural Resources and Conservation,1803.0
1998,Business and Management,Business and Management,101360.0
1998,Communications and Journalism,"Communication, Journalism",9473.0
1998,Communications and Journalism,Communications Technologies/Technicians,1761.0
1998,Education,Education,13261.0
1998,Engineering,Construction Trades,223.0
1998,Engineering,Engineering,66264.0
1998,Engineering,Engineering Technologies/Technicians,5028.0
1998,Engineering,Mechanic and Repair Technologies/Technicians,476.0
1998,Engineering,Military Technologies,58.0
1998,Engineering,Precision Production,161.0
1998,Engineering,Transportation and Materials Moving,804.0
1998,Fine and Applied Arts,Architecture,6454.0
1998,Fine and Applied Arts,Visual and Performing Arts,25032.0
1998,Health Professions,Health Professions,20260.0
1998,Health Professions,Residency Programs,
1998,Humanities,English Language and Literature/Letters,5762.0
1998,Humanities,"Foreign Languages, Literatures and Linguistics",5066.0
1998,Humanities,Philosophy and Religious Studies,1933.0
1998,Humanities,Theology and Religious Vocations,3534.0
1998,Intensive English,Intensive English,21030.0
1998,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",530.0
1998,Legal Studies and Law Enforcement,Legal Professions and Studies,4873.0
1998,Math and Computer Science,Computer and Information Sciences,40085.0
1998,Math and Computer Science,Mathematics and Statistics,8151.0
1998,Other Fields of Study,Basic Skills,
1998,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3046.0
1998,Other Fields of Study,Liberal Arts and Sciences/General Studies,25632.0
1998,Other Fields of Study,Library Science,651.0
1998,Other Fields of Study,Multi/Interdisciplinary Studies,3799.0
1998,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2277.0
1998,Other Fields of Study,Personal and Culinary Services,723.0
1998,Other Fields of Study,Reserve Officer Training Corps,
1998,Physical and Life Sciences,Biological and Biomedical Sciences,18825.0
1998,Physical and Life Sciences,Physical Sciences,17265.0
1998,Physical and Life Sciences,Science Technologies/Technicians,965.0
1998,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2170.0
1998,Social Sciences,History,
1998,Social Sciences,Psychology,7500.0
1998,Social Sciences,Public Administration and Social Service Professions,4032.0
1998,Social Sciences,Social Sciences,23553.0
1998,Undeclared,Undeclared,30970.0
1999,Agriculture,Agriculture,5850.0
1999,Agriculture,Natural Resources and Conservation,1879.0
1999,Business and Management,Business and Management,102492.0
1999,Communications and Journalism,"Communication, Journalism",9714.0
1999,Communications and Journalism,Communications Technologies/Technicians,1563.0
1999,Education,Education,12885.0
1999,Engineering,Construction Trades,276.0
1999,Engineering,Engineering,69593.0
1999,Engineering,Engineering Technologies/Technicians,5042.0
1999,Engineering,Mechanic and Repair Technologies/Technicians,602.0
1999,Engineering,Military Technologies,85.0
1999,Engineering,Precision Production,101.0
1999,Engineering,Transportation and Materials Moving,1135.0
1999,Fine and Applied Arts,Architecture,6189.0
1999,Fine and Applied Arts,Visual and Performing Arts,26290.0
1999,Health Professions,Health Professions,21625.0
1999,Health Professions,Residency Programs,
1999,Humanities,English Language and Literature/Letters,5566.0
1999,Humanities,"Foreign Languages, Literatures and Linguistics",5261.0
1999,Humanities,Philosophy and Religious Studies,1809.0
1999,Humanities,Theology and Religious Vocations,4050.0
1999,Intensive English,Intensive English,21015.0
1999,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",619.0
1999,Legal Studies and Law Enforcement,Legal Professions and Studies,5763.0
1999,Math and Computer Science,Computer and Information Sciences,49487.0
1999,Math and Computer Science,Mathematics and Statistics,7779.0
1999,Other Fields of Study,Basic Skills,
1999,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2577.0
1999,Other Fields of Study,Liberal Arts and Sciences/General Studies,28313.0
1999,Other Fields of Study,Library Science,655.0
1999,Other Fields of Study,Multi/Interdisciplinary Studies,4525.0
1999,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2414.0
1999,Other Fields of Study,Personal and Culinary Services,723.0
1999,Other Fields of Study,Reserve Officer Training Corps,
1999,Physical and Life Sciences,Biological and Biomedical Sciences,18910.0
1999,Physical and Life Sciences,Physical Sciences,17560.0
1999,Physical and Life Sciences,Science Technologies/Technicians,950.0
1999,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2779.0
1999,Social Sciences,History,
1999,Social Sciences,Psychology,6998.0
1999,Social Sciences,Public Administration and Social Service Professions,4448.0
1999,Social Sciences,Social Sciences,24404.0
1999,Undeclared,Undeclared,32799.0
2000,Agriculture,Agriculture,5373.0
2000,Agriculture,Natural Resources and Conservation,1827.0
2000,Business and Management,Business and Management,105214.0
2000,Communications and Journalism,"Communication, Journalism",9958.0
2000,Communications and Journalism,Communications Technologies/Technicians,2261.0
2000,Education,Education,14053.0
2000,Engineering,Construction Trades,371.0
2000,Engineering,Engineering,75815.0
2000,Engineering,Engineering Technologies/Technicians,5630.0
2000,Engineering,Mechanic and Repair Technologies/Technicians,497.0
2000,Engineering,Military Technologies,210.0
2000,Engineering,Precision Production,199.0
2000,Engineering,Transportation and Materials Moving,674.0
2000,Fine and Applied Arts,Architecture,6602.0
2000,Fine and Applied Arts,Visual and Performing Arts,27618.0
2000,Health Professions,Health Professions,22430.0
2000,Health Professions,Residency Programs,
2000,Humanities,English Language and Literature/Letters,5735.0
2000,Humanities,"Foreign Languages, Literatures and Linguistics",4889.0
2000,Humanities,Philosophy and Religious Studies,1785.0
2000,Humanities,Theology and Religious Vocations,3714.0
2000,Intensive English,Intensive English,23011.0
2000,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",697.0
2000,Legal Studies and Law Enforcement,Legal Professions and Studies,5759.0
2000,Math and Computer Science,Computer and Information Sciences,59836.0
2000,Math and Computer Science,Mathematics and Statistics,7989.0
2000,Other Fields of Study,Basic Skills,
2000,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2886.0
2000,Other Fields of Study,Liberal Arts and Sciences/General Studies,28957.0
2000,Other Fields of Study,Library Science,816.0
2000,Other Fields of Study,Multi/Interdisciplinary Studies,6388.0
2000,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2730.0
2000,Other Fields of Study,Personal and Culinary Services,829.0
2000,Other Fields of Study,Reserve Officer Training Corps,
2000,Physical and Life Sciences,Biological and Biomedical Sciences,20119.0
2000,Physical and Life Sciences,Physical Sciences,16975.0
2000,Physical and Life Sciences,Science Technologies/Technicians,1302.0
2000,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2402.0
2000,Social Sciences,History,
2000,Social Sciences,Psychology,7855.0
2000,Social Sciences,Public Administration and Social Service Professions,4626.0
2000,Social Sciences,Social Sciences,24057.0
2000,Undeclared,Undeclared,35779.0
2001,Agriculture,Agriculture,5916.0
2001,Agriculture,Natural Resources and Conservation,2034.0
2001,Business and Management,Business and Management,113495.0
2001,Communications and Journalism,"Communication, Journalism",10560.0
2001,Communications and Journalism,Communications Technologies/Technicians,2035.0
2001,Education,Education,15709.0
2001,Engineering,Construction Trades,437.0
2001,Engineering,Engineering,79833.0
2001,Engineering,Engineering Technologies/Technicians,5655.0
2001,Engineering,Mechanic and Repair Technologies/Technicians,660.0
2001,Engineering,Military Technologies,77.0
2001,Engineering,Precision Production,168.0
2001,Engineering,Transportation and Materials Moving,1428.0
2001,Fine and Applied Arts,Architecture,6694.0
2001,Fine and Applied Arts,Visual and Performing Arts,27284.0
2001,Health Professions,Health Professions,24037.0
2001,Health Professions,Residency Programs,
2001,Humanities,English Language and Literature/Letters,5795.0
2001,Humanities,"Foreign Languages, Literatures and Linguistics",6097.0
2001,Humanities,Philosophy and Religious Studies,2630.0
2001,Humanities,Theology and Religious Vocations,3845.0
2001,Intensive English,Intensive English,21237.0
2001,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",749.0
2001,Legal Studies and Law Enforcement,Legal Professions and Studies,6552.0
2001,Math and Computer Science,Computer and Information Sciences,67850.0
2001,Math and Computer Science,Mathematics and Statistics,8886.0
2001,Other Fields of Study,Basic Skills,
2001,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2968.0
