year,academic_type,source_type,source_of_fund,students
1999,Undergraduate,International,Personal and Family,201578
1999,Undergraduate,International,Foreign Government or University,9742
1999,Undergraduate,International,Foreign Private Sponsor,6245
1999,Undergraduate,International,International Organization,749
1999,Undergraduate,U.S.,Current Employment,749
1999,Undergraduate,U.S.,U.S. College or University,20482
1999,Undergraduate,U.S.,U.S. Government,1499
1999,Undergraduate,U.S.,U.S. Private Sponsor,7993
1999,Undergraduate,Other,Other Sources,749
1999,Graduate,International,Personal and Family,106380
1999,Graduate,International,Foreign Government or University,12171
1999,Graduate,International,Foreign Private Sponsor,6311
1999,Graduate,International,International Organization,1578
1999,Graduate,U.S.,Current Employment,3832
1999,Graduate,U.S.,U.S. College or University,84969
1999,Graduate,U.S.,U.S. Government,1803
1999,Graduate,U.S.,U.S. Private Sponsor,5409
1999,Graduate,Other,Other Sources,2930
1999,Other ,International,Personal and Family,25789
1999,Other ,International,Foreign Government or University,1543
1999,Other ,International,Foreign Private Sponsor,1226
1999,Other ,International,International Organization,514
1999,Other ,U.S.,Current Employment,6922
1999,Other ,U.S.,U.S. College or University,2294
1999,Other ,U.S.,U.S. Government,119
1999,Other ,U.S.,U.S. Private Sponsor,356
1999,Other ,Other,Other Sources,791
2000,Undergraduate,International,Personal and Family,210765
2000,Undergraduate,International,Foreign Government or University,9391
2000,Undergraduate,International,Foreign Private Sponsor,7043
2000,Undergraduate,International,International Organization,783
2000,Undergraduate,U.S.,Current Employment,1043
2000,Undergraduate,U.S.,U.S. College or University,21911
2000,Undergraduate,U.S.,U.S. Government,1043
2000,Undergraduate,U.S.,U.S. Private Sponsor,7304
2000,Undergraduate,Other,Other Sources,1565
2000,Graduate,International,Personal and Family,114866
2000,Graduate,International,Foreign Government or University,10998
2000,Graduate,International,Foreign Private Sponsor,5132
2000,Graduate,International,International Organization,1222
2000,Graduate,U.S.,Current Employment,3422
2000,Graduate,U.S.,U.S. College or University,97515
2000,Graduate,U.S.,U.S. Government,2200
2000,Graduate,U.S.,U.S. Private Sponsor,5621
2000,Graduate,Other,Other Sources,3422
2000,Other ,International,Personal and Family,27747
2000,Other ,International,Foreign Government or University,1662
2000,Other ,International,Foreign Private Sponsor,895
2000,Other ,International,International Organization,341
2000,Other ,U.S.,Current Employment,8055
2000,Other ,U.S.,U.S. College or University,2600
2000,Other ,U.S.,U.S. Government,341
2000,Other ,U.S.,U.S. Private Sponsor,426
2000,Other ,Other,Other Sources,554
2001,Undergraduate,International,Personal and Family,216903
2001,Undergraduate,International,Foreign Government or University,9431
2001,Undergraduate,International,Foreign Private Sponsor,5928
2001,Undergraduate,International,International Organization,539
2001,Undergraduate,U.S.,Current Employment,539
2001,Undergraduate,U.S.,U.S. College or University,24789
2001,Undergraduate,U.S.,U.S. Government,1347
2001,Undergraduate,U.S.,U.S. Private Sponsor,9431
2001,Undergraduate,Other,Other Sources,539
2001,Graduate,International,Personal and Family,139388
2001,Graduate,International,Foreign Government or University,10576
2001,Graduate,International,Foreign Private Sponsor,5152
2001,Graduate,International,International Organization,1356
2001,Graduate,U.S.,Current Employment,4068
2001,Graduate,U.S.,U.S. College or University,102778
2001,Graduate,U.S.,U.S. Government,2441
2001,Graduate,U.S.,U.S. Private Sponsor,4881
2001,Graduate,Other,Other Sources,542
2001,Other ,International,Personal and Family,29912
2001,Other ,International,Foreign Government or University,1525
2001,Other ,International,Foreign Private Sponsor,763
2001,Other ,International,International Organization,212
2001,Other ,U.S.,Current Employment,5804
2001,Other ,U.S.,U.S. College or University,2966
2001,Other ,U.S.,U.S. Government,212
2001,Other ,U.S.,U.S. Private Sponsor,805
2001,Other ,Other,Other Sources,169
2002,Undergraduate,International,Personal and Family,210787
2002,Undergraduate,International,Foreign Government or University,6722
2002,Undergraduate,International,Foreign Private Sponsor,12637
2002,Undergraduate,International,International Organization,269
2002,Undergraduate,U.S.,Current Employment,807
2002,Undergraduate,U.S.,U.S. College or University,25004
2002,Undergraduate,U.S.,U.S. Government,807
2002,Undergraduate,U.S.,U.S. Private Sponsor,8873
2002,Undergraduate,Other,Other Sources,2958
2002,Graduate,International,Personal and Family,142840
2002,Graduate,International,Foreign Government or University,7858
2002,Graduate,International,Foreign Private Sponsor,5332
2002,Graduate,International,International Organization,1123
2002,Graduate,U.S.,Current Employment,3368
2002,Graduate,U.S.,U.S. College or University,107481
2002,Graduate,U.S.,U.S. Government,2245
2002,Graduate,U.S.,U.S. Private Sponsor,4209
2002,Graduate,Other,Other Sources,6174
2002,Other ,International,Personal and Family,23461
2002,Other ,International,Foreign Government or University,1731
2002,Other ,International,Foreign Private Sponsor,626
2002,Other ,International,International Organization,147
2002,Other ,U.S.,Current Employment,6040
2002,Other ,U.S.,U.S. College or University,2652
2002,Other ,U.S.,U.S. Government,184
2002,Other ,U.S.,U.S. Private Sponsor,773
2002,Other ,Other,Other Sources,1215
2003,Undergraduate,International,Personal and Family,209036
2003,Undergraduate,International,Foreign Government or University,5117
2003,Undergraduate,International,Foreign Private Sponsor,6652
2003,Undergraduate,International,International Organization,512
2003,Undergraduate,U.S.,Current Employment,768
2003,Undergraduate,U.S.,U.S. College or University,25842
2003,Undergraduate,U.S.,U.S. Government,768
2003,Undergraduate,U.S.,U.S. Private Sponsor,7164
2003,Undergraduate,Other,Other Sources,0
2003,Graduate,International,Personal and Family,144282
2003,Graduate,International,Foreign Government or University,6140
2003,Graduate,International,Foreign Private Sponsor,4744
2003,Graduate,International,International Organization,3907
2003,Graduate,U.S.,Current Employment,1116
2003,Graduate,U.S.,U.S. College or University,112747
2003,Graduate,U.S.,U.S. Government,1954
2003,Graduate,U.S.,U.S. Private Sponsor,4186
2003,Graduate,Other,Other Sources,0
2003,Other ,International,Personal and Family,24478
2003,Other ,International,Foreign Government or University,1438
2003,Other ,International,Foreign Private Sponsor,456
2003,Other ,International,International Organization,281
2003,Other ,U.S.,Current Employment,4874
2003,Other ,U.S.,U.S. College or University,2735
2003,Other ,U.S.,U.S. Government,105
2003,Other ,U.S.,U.S. Private Sponsor,701
2003,Other ,Other,Other Sources,0
